brand,model,color,aid,title
"LANNEY",,"Hexagon Tube+Cleaning Brush+Hooks","AIDOWP182001","Pellet Smoker Tube, 12'' Stainless Steel BBQ Wood Pellet Tube Smoker for Cold/Hot Smoking, Portable Barbecue Smoke Generator Works with Electric Gas Charcoal Grill or Smokers, Hexagonal"
"LANNEY","Pellet Smoker Tube Hexagonal","Hexagonal","AIDEQVRJ1001","Pellet Smoker Tube, 12'' Stainless Steel BBQ Wood Pellet Tube Smoker for Cold/Hot Smoking, Portable Barbecue Smoke Generator Works with Electric Gas Charcoal Grill or Smokers, Bonus Brush, Hexagon"
"Weber","10020","Black","AIDSIP191001","Weber 10020 Smokey Joe 14-Inch Portable Grill,Black"
"Char-Broil","20602107","Black","AID608P52001","Char-Broil 20602107 Patio Bistro TRU-Infrared Electric Grill, Black"
"Blackstone","1825","black","AIDBI4B81001","Blackstone 1825 36"" Accessory Griddle with Side Shelf, 36 inch-4 Burner-W/New"
"Dyna-Glo","DGO1176BDC-D","Black","AIDEXJUD1001","Dyna-Glo DGO1176BDC-D Vertical Offset Charcoal Smoker"
"Texsport","15110","Black","AIDHBKN81001","Texsport Heavy Duty Camp 24"" X 16"" Grill"
"Weber","1141001","Black","AIDNZWUI1001","Weber 1141001 Go-Anywhere Gas Grill, ONE Size, Black"
"Masterbuilt",,"black","AIDPPKH92001","Masterbuilt Digital Electric Smoker | Outdoor, 30-Inch, Black | MB20071117 Model & MB20080319 Electric Smoker Cover, 30 inch, Black"
"MVZAWINO",,"Hexagon","AIDJQEM71001","Premium Pellet Smoker Tube for All Grill Electric Gas Charcoal or Smokers- 5 Hours of Billowing Smoke - Cold or Hot Smoking- Ideal for Smoking Cheese Nuts Steaks Fish Pork Beef - 12"" Stainless Steel"
"Char-Broil",,"Stainless Steel","AID0GFV34001","Char-Broil 463377319 Performance 4-Burner Cart Style Liquid Propane Gas Grill, Stainless Steel & 3-4 Burner Large Rip-Stop Grill Cover"
"Weber","45020001","Sapphire","AIDSYN671001","Weber 45020001 Spirit II E-310 Sapphire LP Outdoor Gas Grill"
"Weber","121020","Black","AIDX4VJ81001","Weber 121020 Go-Anywhere Charcoal Grill,Black,14.5"" H x 21"" W x 12.25"" L"
"Masterbuilt","MB20101114","Black","AIDUIBS81001","Masterbuilt MB20101114 Universal Leg Extension Kit, Black"
"Weber","49010001","Black","AID1KZL22001","Weber 49010001 Spirit II E-310 3-Burner Natural Gas Grill, Black"
"Realcook",,"17"" Charcoal","AIDOJQL02001","Realcook Vertical 17 Inch Steel Charcoal Smoker, Heavy Duty Round BBQ Grill for Outdoor Cooking, Black"
"NEARPOW",,,"AID0FV472001","NEARPOW Pellet Smoker Tube, 6 Hours of Billowing Smoke, 2 Caps and Non-perforated at One Side, Portable Cold Hot Smoking Tube, 12'' Wood Pellet Barbecue Tube Smoker Hexagonal for Any Grill or Smoker"
"Char-Griller","E56714","Sapphire Blue","AIDQWLPU3001","Char-Griller E56714 AKORN Jr. Kamado, Sapphire Blue Portable Charcoal Grill"
"Char-Broil","17402049","Black","AIDFRTDJ1001","Char-Broil Portable 240 Liquid Propane Gas Grill"
"Char-Broil","463375919","Stainless Steel","AID1OM591001","Char-Broil 463375919 Performance Stainless Steel 4-Burner Cabinet Style Liquid Propane Gas Grill"
"Masterbuilt",,"black","AIDDGL8Z3001","Masterbuilt MB20073519 Bluetooth Digital Electric Smoker with Broiler, 30 inch, Black & 30-Inch Electric Smoker Cover"
"Char-Broil","19202101","725 Square Inch","AIDCLV472001","Char-Broil 19202101 Deluxe Black Digital Electric Smoker, Large, 725 Square Inch"
"Char-Broil",,,"AIDIYY444001","Char-Broil Classic 360 3-Burner Liquid Propane Gas Grill & All-Season Grill Cover, 3-4 Burner: Large"
"Char-Broil","463672817",,"AIDO1UR72001","Char-Broil Classic 280 2-Burner Liquid Propane Gas Grill with Side Burner"
"Dyna-Glo",,"Black","AIDULWH92001","Dyna-Glo DGO1890BDC-D Wide Body Vertical Offset Charcoal Smoker and Premium Smoker Cover"
"Texsport","15113","Black","AIDTJYTD1001","Texsport Heavy Duty Camp 16"" x 12"" Grill"
"Char-Griller","E1515","Black","AIDAOWUI1001","Char-Griller E1515 Patio Pro Charcoal Grill, Black"
"Char-Broil",,,"AID3N2544001","Char-Broil Classic 360 3-Burner Liquid Propane Gas Grill & Performance Grill Cover, 3-4 Burner: Large"
"Cuisinart","CGG-059","Grillster 8,000 BTU Portable Gas Grill","AID40XUI1001","Cuisinart CGG-059 Propane, Grillster 8,000 BTU Portable Gas Grill"
"ISUMER","ISUMERBBQgrill003","Sliver","AIDVNWUI1001","Charcoal Grill Barbecue Portable BBQ - Stainless Steel Folding BBQ Kabab grill Camping Grill Tabletop Grill Hibachi Grill for Shish Kabob Portable Camping Cooking Small Grill"
"VENYN",,,"AIDHD4012001","VENYN Original Kettle Premium Portable Charcoal Grill for Outdoor Grilling 18inch - Barbeque Grill and Smoker for Outdoor Picnic, Patio, Backyard & Camping"
"CARPATHEN",,"Silver","AIDOQVRJ1001","Carpathen Smoke Tube - Pellet Smoker for Gas Grill, Electric, Charcoal Grills or Smokers - Billows 5 Hours of Amazing Cold Smoke Ideal for Smoking Cheese, Fish, Pork, Beef, Nuts - 12"" Stainless Steel Made"
"BBQFAM",,,"AIDCU4ZG5001","BBQFAM 6"" EZ Smoker Tube, The Hexagonal Pellet Smoke Tube on Instagram and FB- Included are our 3 popular E-books (1, 6"")"
"RMYHOME",,,"AIDEN8L34001","RMYHOME BBQ Liquid Propane Gas Grill Stainless Steel 16,000 BTU Patio Garden Barbecue Grill with Built in Thermometer, Removable Wheels (Two Burners)"
"Char-Broil",,"Stainless Steel","AIDSGFV34001","Char-Broil 463377319 Performance 4-Burner Cart Style Liquid Propane Gas Grill, Stainless Steel & Performance Grill Cover, 3-4 Burner: Large"
