brand,model,color,aid,title
"Baby Trend","TJ94522","Millennium Blue","AIDNIWJ71001",
"Baby Trend","TJ75B12A","Moonstone","AIDUQW042001",
"gb","618000797","Laguna Blue","AIDL8CWD1001","gb Pockit+ Lightweight Baby Stroller, Umbrella Stroller, Collapsible, Travel-Friendly, Folds into Backpack, Fits in Overhead Compartments, Reclining Seat, UPF50+ Sun Canopy, Laguna Blue"
"Graco","2113145","Ontario","AID9TF022001","Graco Modes Pramette Travel System | Includes Baby Stroller with True Bassinet Mode, Reversible Seat, One Hand Fold, Extra Storage, Child Tray and SnugRide 35 Infant Car Seat, Ontario"
"Baby Trend","TS40B65B","Doodle Dots","AIDO3L3A1001",
"Baby Trend","SG13105","Black","AID0L7771001","Baby Trend Snap-N-Go EX Universal Infant Car Seat Carrier"
"Baby Trend","JG95203","Tiger Lily","AIDT8ES91001","Baby Trend Xcel Jogger Stroller, Tiger Lily"
"Baby Jogger","2082768","Slate","AIDP1FCA2001","Baby Jogger City Mini GT2 Stroller, Slate"
"Disney","US139CJC","Pink Minnie","AIDWDU781001","Disney Umbrella Stroller with Basket, Pink Minnie"
"INFANS",,"White","AIDWGDJ12001","INFANS Baby Stroller for Newborn, 2 in 1 High Landscape Convertible Reversible Bassinet Pram for Infant & Toddler, Foldable Aluminum Alloy Pushchair with Adjustable Backrest, 3D Suspension (White)"
"gb","619000537","Velvet Black","AIDP8ZA12001","gb Pockit Air All Terrain Ultra Compact Lightweight Travel Stroller with Breathable Fabric in Velvet Black"
"gb","619000539","Night Blue","AIDSR9CA2001","gb Pockit Air All Terrain Ultra Compact Lightweight Travel Stroller with Breathable Fabric in Night Blue"
"Evenflo","56012367","Salsa","AIDOBJ652001","Evenflo Pivot Modular Travel System with SafeMax Car Seat"
"Baby Trend","TJ99106","Spartan","AIDFG6182001",
"Baby Trend","TJ30442","Willow","AID9FZVD1001",
"Evenflo","560131993A","Sandstone","AID4UCT81001",
"Graco","1935095","Coconut","AIDSM2CA2001","Graco FastAction Fold Jogger XT Travel System | Includes the FastAction Fold XT Jogging Stroller and SnugRide 35 Infant Car Seat, Coconut"
"Summer Infant","32923","Black/Heather Gray","AIDNSGJ22001",
"INFANS",,"Dark Grey","AIDFYHK72001","INFANS Newborn Baby Stroller Carriage, 2 in 1 High Landscape Convertible Reversible Bassinet Pram, Foldable Aluminum Alloy Pushchair with Adjustable Canopy, 3D Shock Absorption PU Wheels (Dark Grey)"
"BOB Gear","U221950","Lunar Black","AID6AVAA2001","BOB Gear Revolution Flex 3.0 Jogging Stroller | Ultra-Reflective Fabric + Smooth Ride Suspension + Easy Fold + Adjustable Handlebar, Lunar Black [New Logo]"
"Summer Infant","32863","3Dpac CS","AID91C522001",
"Baby Trend","TS40949","Hounds Tooth","AID3Z2K81001",
"Chicco","04079095670070","Lilla","AID26SF12001","Chicco Bravo Trio Travel System, Lilla"
"gb","618000775","Sapphire Blue","AIDR98CA2001","gb Pockit Plus 2018 Sapphire Blue"
"Summer Infant","32900","Black/Black","AID7TGJ22001",
"Chicco","05079224960070","Latte","AIDYIX191001","Chicco Bravo LE Trio Travel System, Latte"
"gb","618000791","Satin Black","AID1FJ512001","gb Pockit+ Lightweight Baby Stroller, Umbrella Stroller, Collapsible, Travel-Friendly, Folds into Backpack, Fits in Overhead Compartments, Reclining Seat, UPF50+ Sun Canopy, Satin Black"
"Baby Trend","JG95633","Raspberry","AID6LR2A1001","Baby Trend Xcel Jogger Stroller, Raspberry"
